site,sampleid,mel_s,pb_s,het_s,sum_s,mel_r,pb_r,het_r,sum_r,sum_t,eggs_r,yield_kgha,b,g,nir,r,re,rndvi,gndvi,bndvi,rendvi,sr,rdvi,savi,vari,evi,nli
a,35,60,8,96,164,232.72727272727272,14.545454545454543,3803.636363636363,5887.272727272727,6051.272727272727,1836.3636363636365,739.8009279918866,0.046361023026025,0.046361023026025,0.379257812035664,0.040747468339072,0.138694068910006,0.8059668759272912,0.7821476908121067,0.7821476908121067,0.464451915275295,9.307518417579839,0.6495826050919976,0.8754498152444845,0.13776450208491275,4.065828661036957,0.5584939325234647
a,36,4,0,0,4,48.48484848484848,0,48.48484848484848,1421.2121212121212,1425.2121212121212,1324.2424242424242,1171.961866125761,0.051898497677244,0.051898497677244,0.432287447264089,0.037563556058825,0.154731651001117,0.8401043914212577,0.785625757131251,0.785625757131251,0.47282242959934606,11.508160904338276,0.7057753884852818,0.9400411108090966,0.3816183322998042,4.676226727217413,0.6652626387017566
a,37,32,0,0,32,30.76923076923077,61.53846153846154,61.53846153846154,1788.4615384615383,1820.4615384615383,1634.6153846153843,835.0228296146045,0.048954136794274,0.048954136794274,0.439600094321935,0.033773225043177,0.14947564055153,0.8573082864557149,0.7995958946771269,0.7995958946771269,0.4925079010981915,13.016230868089535,0.7349774980256341,0.9611082205488748,0.4494954725729965,4.688216390039411,0.7024666843623211
a,38,20,0,340,360,33.333333333333336,66.66666666666667,66.66666666666667,666.6666666666667,1026.6666666666667,500,585.9809330628805,0.047019703272621,0.047019703272621,0.43367715935935,0.031815259018913,0.144034500973409,0.8633049314540728,0.8043685868254978,0.8043685868254978,0.5013619739284961,13.631105725134748,0.7452954046729214,0.9637092837568495,0.4778978616729008,4.694657553078242,0.7106271824261863
a,39,0,0,0,0,0,0,23.529411764705884,424.7058823529412,424.7058823529412,401.1764705882353,688.5275963488845,0.05071903990387,0.05071903990387,0.436615940268713,0.038818092583074,0.152010388032936,0.8367046113622444,0.7918514288224968,0.7918514288224968,0.4835080229199794,11.247743287084958,0.7000746066748444,0.939038107308357,0.30658248586859255,4.43959044025088,0.6616445704420095
a,40,8,0,12,20,200,0,0,980,1000,780,900.9456845841784,0.048379449297071,0.048379449297071,0.41402367042268,0.039200603026941,0.145900672383826,0.8270145474399512,0.7907477383526635,0.7907477383526635,0.47885576236057603,10.561665853408892,0.6839530616773073,0.9168498792959123,0.23415063956597162,4.272061686933551,0.6277532067815551
a,42,12,4,4,20,657.1428571428571,428.57142857142856,585.7142857142857,12203.571428571428,12223.571428571428,10532.142857142857,1142.6628194726168,0.045490887343556,0.045490887343556,0.440711130807688,0.033300541006984,0.142803146125196,0.8594948479665127,0.8128724865580256,0.8128724865580256,0.5105410380845873,13.234353481382158,0.7387313936809787,0.9638874359393361,0.3660705192151491,4.402656643981704,0.7072825277236549
a,43,4,0,0,4,92.3076923076923,92.3076923076923,61.53846153846154,930.7692307692308,934.7692307692308,684.6153846153846,725.1514046653145,0.046868118354016,0.046868118354016,0.378446948504256,0.041808479067479,0.141868763113463,0.8010330083823008,0.7796075333036161,0.7796075333036161,0.45468199423624034,9.051918580760654,0.6416538805179992,0.8702334871184627,0.12101945345514072,4.0296463468391055,0.5480911220427852
a,44,8,8,4,20,200,133.33333333333334,44.44444444444444,2200,2220,1822.2222222222224,835.0228296146045,0.0463493488074,0.0463493488074,0.365335498262068,0.045341605017704,0.137533239909896,0.779186106770529,0.7748309215783258,0.7748309215783258,0.45300540888718244,8.057401102572788,0.6071309889842142,0.8410900614514973,0.022225587058563975,3.7608051321508484,0.49285620084099413
a,45,20,0,0,20,180,100,40,2125,2145,1805,922.9199695740364,0.04438639589118,0.04438639589118,0.410410787487205,0.032146236419186,0.138914012483188,0.8547249973102425,0.8048079561027047,0.8048079561027047,0.49423724364647276,12.766993377870433,0.7305548210269941,0.9416483487713443,0.3807649303757576,4.4973946870164765,0.6794723759422718
