"x","y","cells","B02M","B03M","B04M","B08M","B02J","B03J","B04J","B08J","B02N","B03N","B04N","B08N","B02JA","B03JA","B04JA","B08JA","B05M","B06M","B07M","B11M","B12M","B8AM","B05J","B06J","B07J","B11J","B12J","B8AJ","B05N","B06N","B07N","B11N","B12N","B8AN","B05JA","B06JA","B07JA","B11JA","B12JA","B8AJA","class"
642979.56068349,6660808.83027309,12584,388,823,536,3798,389,719,303,5890,476,467,619,1616,798,714,853,1856,1270.125,2396.0625,2442,2356.5,1547.375,2732.125,955,3032.125,4092.1875,1492.6875,741.1875,4231.6875,1010.6875,1331.9375,1517.25,1269.125,865.9375,1831.0625,1107.1875,1381.125,1542.875,1269.375,892.625,1863.375,1
642749.56068349,6660898.83027309,11643,590,909,1031,2830,474,803,555,4927,522,504,565,1450,713,723,856,1781,1549,2473.6875,2702.0625,2707.9375,1885.6875,2931.125,1224.125,3376.75,4313.875,1870.375,1041.3125,4645.8125,832.6875,1121.6875,1141.3125,942.875,653.6875,1358.5625,1034.1875,1143,1189.75,948.125,629,1469.375,1
642989.56068349,6660898.83027309,11667,431,590,588,1614,355,544,324,3250,612,582,677,1762,741,548,594,1461,1176.625,1571.1875,1713.3125,2103.25,1515.5,1963.75,1015.8125,2611.625,3262.125,1450.1875,847.5625,3259,881.875,1282.1875,1360.75,1171.8125,834.625,1536.4375,830.625,1096.0625,1175.0625,1088.25,771,1267.875,1
643019.56068349,6660928.83027309,11364,638,955,1233,3039,343,839,261,6660,387,469,657,1576,689,500,717,1744,1479.4375,2088.0625,2408.75,3040.8125,2064.8125,2782.4375,1213.1875,4234.0625,4939.6875,1841.8125,847.125,5182.4375,994.3125,1438.6875,1430.75,1229.375,802.125,1892.875,1122.6875,1450.125,1626.75,1364.25,882.8125,2000.4375,1
643109.56068349,6660928.83027309,11373,502,757,778,2330,151,310,86,2780,439,408,556,1323,1117,868,823,1419,1392.625,2240.125,2534.25,2534.625,1599.1875,2858.1875,740.75,2870.5,3563.9375,1500.1875,694.125,3932.5,957,1180.3125,1395.6875,1033.875,684.875,1710.625,1148.75,1419.125,1534.6875,887.5,641.6875,1843.125,1
643129.56068349,6660958.83027309,11069,553,817,814,2841,304,623,225,4659,643,738,798,2582,992,935,982,2524,1389.875,2309.25,2642.5625,2627.25,1649.8125,2934,907.0625,3439.875,4298.4375,1746.75,808.4375,4586.9375,1115.1875,1711.8125,1785.0625,1130.75,810.125,2143.75,1394,1704.9375,1760.625,1088.3125,726.4375,2093.0625,1
642939.56068349,6660978.83027309,10846,429,639,822,2039,218,429,151,3963,436,385,505,1326,617,417,436,1085,1180.5,1530.4375,1763.125,2455.875,1646.6875,2084.4375,808.8125,2941.625,3314.75,1516.9375,714.625,3569.375,1077.4375,1339.5,1591.3125,1415.625,975.1875,1940.8125,900.5,1193.125,1372,1289.75,865.75,1599.6875,1
642929.56068349,6660988.83027309,10743,408,597,757,2018,159,395,74,3453,434,454,622,1432,629,468,516,1263,1213.5,1617.9375,1887.0625,2427.25,1622.9375,2170.8125,823.5625,2950.5,3470,1455.4375,677.6875,3667.3125,978.875,1333.75,1486,1333.3125,920.75,1818.0625,894.4375,1151.25,1284.9375,1176.9375,792,1500.9375,1
642849.56068349,6661008.83027309,10531,792,1081,1224,2525,397,808,455,4357,616,1036,1058,2255,802,805,1035,2001,1596.8125,2212.6875,2367.75,2894.75,1969.5625,2662.875,1136,3470.9375,3644.3125,1909.875,961,3937.9375,1466.5,2160.125,2458.1875,1692.3125,1143.8125,2826.5625,1450.625,1927.3125,2123.8125,1629.125,1077.125,2459.5,1
643079.56068349,6661028.83027309,10350,478,801,998,3134,258,638,174,5615,440,408,665,1998,1209,1038,1261,2214,1484.3125,2148.75,2394.875,2821,1847.5,2934.25,1043.625,4033.625,4783.625,1897.6875,853.125,5159.4375,1026.5625,1461.625,1666.625,1407.75,908.4375,2033,1288.6875,1698.8125,1909.625,1305.3125,930,2155.5625,1
642969.56068349,6661038.83027309,10237,413,501,591,1335,180,329,95,2796,443,329,337,663,627,412,371,728,1024.9375,1356.5625,1471.4375,2137.6875,1451.5,1710.0625,622.1875,2417.75,2691.3125,1214.5625,550.375,2937.8125,591.8125,861.3125,845.75,659.4375,434.5625,1009.625,626.1875,797.4375,875.8125,710.625,475.0625,961.3125,1
642999.56068349,6661078.83027309,9832,435,673,918,2319,265,490,161,3872,337,365,483,1279,621,563,598,1705,1328.125,1721.125,2000.8125,2791.3125,1840.75,2349.9375,846.25,3049.1875,3689.4375,1580.1875,755.375,3893.25,773.4375,1115.0625,1174.125,899.875,614.125,1501.6875,873.5625,1089.875,1231.1875,977.125,629.625,1475.0625,1
643589.56068349,6661128.83027309,9381,535,791,937,2795,262,616,183,5475,393,347,418,996,773,624,556,1002,1245.5625,1816.625,2041.9375,2724.1875,1789.25,2368.0625,999.125,3567.0625,4416.9375,1748.4375,831.625,4638.0625,509.8125,675.3125,641.125,390.25,253,818.625,699.8125,807.5625,842,407.25,292.25,947.375,1
643359.56068349,6661148.83027309,9154,400,512,674,1668,271,548,193,4250,519,541,695,1992,780,621,756,1899,969.5625,1265.125,1408.9375,2249.125,1497.0625,1684.9375,852.6875,3109.5625,3666.3125,1633.3125,714.5,3932.1875,990.625,1475.6875,1607.875,1870.3125,1222.3125,2019.5,1042.375,1359.1875,1496.8125,1772.9375,1173.5,1719.4375,1
643519.56068349,6661148.83027309,9170,358,470,558,1520,223,478,140,3427,403,455,491,1552,593,447,463,1403,824.5625,1131,1274.3125,1925,1255.0625,1572,741.125,2672.75,3154.8125,1342.6875,564.4375,3459.75,691.75,1031.375,1188.375,1167.75,741.1875,1437.1875,717,1057.875,1139.1875,1127.25,765,1369.4375,1
643319.56068349,6661168.83027309,8946,338,445,629,1682,180,365,122,3595,366,452,480,1468,635,483,516,1366,953.9375,1350.8125,1544.25,2263.125,1437.875,1824.5625,689.125,2708.75,3231.3125,1402.375,605.25,3450.9375,783.5,1156.3125,1329.5,1278.75,801.875,1646,836.8125,1097.9375,1202.3125,1188.125,800.8125,1412.6875,1
643489.56068349,6661168.83027309,8963,317,453,612,1676,197,389,106,4284,394,328,414,1236,625,527,504,1327,872.3125,1210,1419.125,2110.3125,1340.9375,1676.6875,683.625,3085.9375,3746.1875,1415.4375,593.75,3999.0625,740.75,1133.0625,1335.4375,1247.625,768.375,1617.6875,792.4375,1124.125,1171.3125,1149.625,760.5,1357.875,1
643529.56068349,6661168.83027309,8967,249,390,476,1526,125,213,78,2747,262,234,321,965,578,318,321,932,842.5625,1254.0625,1395.75,1992.5625,1237.0625,1645.75,571.625,2647.5625,3073.625,1288.8125,541.3125,3375.1875,558.25,850.0625,1019.3125,940.0625,583.0625,1289.375,656.375,934.6875,1087.3125,985.3125,614.0625,1251.875,1
643589.56068349,6661168.83027309,8973,454,609,824,2025,279,569,216,5612,512,411,559,1528,1003,733,704,1573,1256.1875,1662.0625,1855.5,2697.375,1871.4375,2175.0625,1090.25,3948.875,4830,1962.4375,951,5108.125,693.125,955.625,1083.6875,770.5,517.1875,1343.0625,867.4375,1130.0625,1307.0625,766.625,518.5,1411.25,1
